table,column,nulls,total,pct,type,root_cause,backfill_path,status,notes
texts_adopted,celex_number,8,133,6.0,derivable,Adopted texts have CELEX 5{YYYY}AP{NNNN} from ta_reference,mechanical mapping P{N}_TA({YYYY}){NNNN} -> 5{YYYY}AP{NNNN},partial,UPDATED 2026-05-08: 125 of 133 derived from ta_reference; 8 are A-numbers (committee reports — no CELEX assigned by Pubs Office)
public_consultations,views_count,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,target_group,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,short_title,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,publication_id,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,outcome_summary,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,outcome_published_date,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,outcome_document_url,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,objectives,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,full_description,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,feedback_url,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,feedback_by_country,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
public_consultations,feedback_by_category,124,124,100.0,unfillable,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
ep_resolutions,vote_date,72,72,100.0,unfillable_now,Recent 2026 RSPs without published vote tallies on OEIL,cron-style re-check,unfillable_now,
ep_resolutions,text_url,72,72,100.0,derivable,doceo URL pattern: https://www.europarl.europa.eu/doceo/document/{ta_ref}_EN.html,UPDATE SET text_url = format(...) FROM ta_reference,feature_pending,UPDATED 2026-05-08: doceo B-number is not deterministically derivable from procedure_ref — requires OEIL re-scrape to extract document URL
ep_resolutions,summary,72,72,100.0,unfillable_now,OEIL summary not yet published,cron-style re-check,unfillable_now,
ep_resolutions,policy_areas,72,72,100.0,scraper_gap,OEIL policy_areas tag not captured,OEIL XML has dossier/subjects,open,
ep_resolutions,followup_checked_at,72,72,100.0,feature_pending,Follow-up tracking feature not implemented,cron job,open,
ep_resolutions,eurovoc_codes,72,72,100.0,scraper_gap,EuroVoc codes not extracted from OEIL,OEIL XML has eurovoc_descriptors,open,
ep_resolutions,adoption_date,72,72,100.0,unfillable_now,Same as vote_date,cron-style refresh,unfillable_now,
rsb_opinions,target_dg,44,44,100.0,scraper_gap,Could derive from impact assessment metadata,"scrape rsb opinion HTML for ""addressed to""",open,
rsb_opinions,summary,10,44,22.7,derivable,first paragraph of full_text,"UPDATE rsb_opinions SET summary = SUBSTRING(full_text,1,500) WHERE full_text IS NOT NULL",partial,34/44 rows have full_text | UPDATED 2026-05-08: 34 of 44 filled from full_text first 500 chars; 10 lack full_text
rsb_opinions,procedure_ref,44,44,100.0,scraper_gap,Procedure ref not captured at scrape,cross-reference impact assessments,open,
legislative_trains,description,7,7,100.0,scraper_gap,EPRS legislative train carriages have description; not captured,reparse legislative-train.eu,open,7 rows only
