reason_class,reason_summary,table,column,rows_still_null,rows_total,pct_null,specific_root_cause,backfill_path_or_blocker,session_status,detail_notes
1_no_upstream_source,No public EU source exposes this field,public_consultations,feedback_url,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,feedback_by_country,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,feedback_by_category,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
2_upstream_not_yet_published,Upstream source has not yet published this data; will fill on cron refresh,ep_resolutions,vote_date,72,72,100.0,Recent 2026 RSPs without published vote tallies on OEIL,cron-style re-check,unfillable_now,
2_upstream_not_yet_published,Upstream source has not yet published this data; will fill on cron refresh,ep_resolutions,summary,72,72,100.0,OEIL summary not yet published,cron-style re-check,unfillable_now,
2_upstream_not_yet_published,Upstream source has not yet published this data; will fill on cron refresh,ep_resolutions,adoption_date,72,72,100.0,Same as vote_date,cron-style refresh,unfillable_now,
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,legislative_carriages,rapporteur_mep_id,1714,1714,100.0,rapporteur_name set; MEP ID not looked up,JOIN ep_members by name,feature_pending,UPDATED 2026-05-08: no rapporteur_name column on legislative_carriages; ep_members table is empty (0 rows); requires both schema extension AND ep_members backfill
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,legislative_carriages,package_id,1714,1714,100.0,Package linkage feature not implemented,manual linking,open,
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,legislative_carriages,eprs_match_confidence,1714,1714,100.0,EPRS matching feature not run,compute via EPRS overlap,open,
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,legislative_carriages,days_in_current_status,1714,1714,100.0,compute from carriage_status_history,UPDATE FROM carriage_status_history,feature_pending,UPDATED 2026-05-08: carriage_status_history is empty (0 rows); status_history JSON is also empty/null on all rows; requires status-tracking feature
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,commission_documents,legislative_carriage_id,570,570,100.0,Linkage to legislative_carriages not implemented,JOIN by celex or procedure_ref,open,
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,committee_work_items,rapporteur_mep_id,428,428,100.0,rapporteur_name captured but MEP ID lookup not done,JOIN ep_members by fuzzy name match,feature_pending,UPDATED 2026-05-08: rapporteur_name set but ep_members table is empty (0 rows); requires ep_members backfill
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,texts_adopted,rapporteur_mep_id,133,133,100.0,rapporteur_name set; MEP ID via fuzzy match,JOIN ep_members by name,feature_pending,UPDATED 2026-05-08: rapporteur_name set but ep_members table is empty (0 rows); requires ep_members backfill
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,ep_resolutions,text_url,72,72,100.0,doceo URL pattern: https://www.europarl.europa.eu/doceo/document/{ta_ref}_EN.html,UPDATE SET text_url = format(...) FROM ta_reference,feature_pending,UPDATED 2026-05-08: doceo B-number is not deterministically derivable from procedure_ref — requires OEIL re-scrape to extract document URL
3_brubru_feature_pending,Requires Brubru-side feature work (scraper/linker/lookup) — defer to dedicated session,ep_resolutions,followup_checked_at,72,72,100.0,Follow-up tracking feature not implemented,cron job,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,transparency_meetings,transparency_register_id,17197,17197,100.0,Meeting scraper does not look up TR ID,EU Transparency Register API,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,transparency_meetings,organisation_type,17197,17197,100.0,Same as transparency_register_id,EU Transparency Register API,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,catalan_translations,source_file,8815,8815,100.0,Pipeline produces source_file metadata; not stored,set source_file at translate-time,open,UPDATED 2026-05-08: requires translate-pipeline change (separate session)
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,eu_officials,portfolio,7898,7898,100.0,Portfolio is free text; only relevant for ~27 commissioners,commission.europa.eu/about/leadership/college-commissioners,open,99% of rows will remain null
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,eu_officials,photo_url,7898,7898,100.0,Photo URLs not in PDF source,WhoIsWho HTML has photo URLs per profile,open,medium-effort; deferred
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,eu_officials,dg,7898,7898,100.0,PDF parser does not track DG section headers,rewrite ingest_whoiswho_pdfs.py to track DG sections,open,only relevant for institution_slug=european-commission
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,eu_officials,cabinet,7898,7898,100.0,Cabinet structure not in WhoIsWho PDFs,separate scraper for commission.europa.eu cabinet pages,open,limited to ~27 commissioners
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,secondary_acts,parent_procedure_ref,6722,6722,100.0,Parent COD/COM relationship not captured at scrape,Cellar relationships endpoint,open,medium-effort
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,funding_opportunities,target_audience,479,479,100.0,F&T portal has the field; ingester did not capture,reparse F&T calls,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,funding_opportunities,indicative_budget,479,479,100.0,F&T portal has the field; ingester did not capture,reparse F&T calls,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,funding_opportunities,deadline_secondary,479,479,100.0,F&T portal has the field; ingester did not capture,reparse F&T calls,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,committee_work_items,vote_result,428,428,100.0,Committee vote results not in OEIL XML at scrape,JOIN committee_minutes by procedure_ref,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,committee_work_items,vote_date,428,428,100.0,Same as vote_result,JOIN committee_minutes by procedure_ref,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,committee_work_items,full_description,428,428,100.0,Only summary captured,OEIL procedure file has fuller summary; re-scrape,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ft_calls_for_proposals,indicative_budget,426,426,100.0,EU F&T portal has the field; ingester did not capture,reparse F&T calls,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ft_calls_for_proposals,deadline_secondary,426,426,100.0,EU F&T portal has the field; ingester did not capture,reparse F&T calls,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,value_range_low,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,value_range_high,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,summary,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,submission_url,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,sme_analysis,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,raw_json,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,notice_subtype,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,notice_id,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,minimum_requirements,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,legal_basis,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,keywords,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,form_type,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,exclusion_grounds,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,embeddings_id,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,documents_url,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,contract_start_date,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,tenders,contract_duration_months,386,386,100.0,TED ingester loaded only minimal fields,TED REST API + eForms XML parser,open,dedicated tenders re-scrape session
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ft_calls_for_tenders,documents_url,386,386,100.0,F&T tender ingester gap,same as tenders,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ft_calls_for_tenders,description,386,386,100.0,F&T tender ingester gap,same as tenders,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ft_calls_for_tenders,deadline,386,386,100.0,F&T tender ingester gap,same as tenders,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,texts_adopted,vote_results,133,133,100.0,EP plenary vote tallies not captured,parse VotesResults pages on doceo,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ep_resolutions,policy_areas,72,72,100.0,OEIL policy_areas tag not captured,OEIL XML has dossier/subjects,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,ep_resolutions,eurovoc_codes,72,72,100.0,EuroVoc codes not extracted from OEIL,OEIL XML has eurovoc_descriptors,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,rsb_opinions,target_dg,44,44,100.0,Could derive from impact assessment metadata,"scrape rsb opinion HTML for ""addressed to""",open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,rsb_opinions,procedure_ref,44,44,100.0,Procedure ref not captured at scrape,cross-reference impact assessments,open,
4_scraper_rewrite_required,Existing scraper does not capture this field; requires re-scrape with extended capture,legislative_trains,description,7,7,100.0,EPRS legislative train carriages have description; not captured,reparse legislative-train.eu,open,7 rows only
5_derivation_dependency,Derivation depends on another column or table that is itself null/empty,catalan_translations,parent_celex,8815,8815,100.0,parent_celex for ANNEX-only translations,depends on eu_laws annex linker,open,
6_intentional_no_op,Column exists for forward compatibility; no auto-fill logic was ever written,eu_laws,parent_law_uuid,28505,28505,100.0,Self-FK for annex->parent linkage; no auto-link logic,requires building the annex-to-parent linker,open,separate session
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,eu_officials,country,7898,7898,100.0,Country backfill exists for Council members; no path for others,backfill_officials_country.py for Council subset,partial,only fills role=country in caps
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,secondary_acts,description,2339,6722,34.8,first paragraph of text_body is fine,"UPDATE SET description = SUBSTRING(text_body,1,500) WHERE text_body IS NOT NULL",partial,UPDATED 2026-05-08: 4383 of 6722 filled from text_body first 500 chars; 2339 still null (no text_body either)
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,commission_documents,source_url,434,570,76.1,Document register scraper drops source URL,same scrape as portal_url,partial,UPDATED 2026-05-08: 136 of 570 filled from portal_url; 434 lack portal_url too
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,secondary_acts,pdf_url,392,6722,5.8,Cellar PDF resource URL is deterministic from celex,UPDATE secondary_acts SET pdf_url = ... WHERE celex IS NOT NULL,partial,"derivable for 5,156 rows | UPDATED 2026-05-08: 6330 of 6722 filled via Cellar PDF resource URL from celex; 392 lack celex"
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,commission_documents,pdf_url,302,570,53.0,derive from celex via Cellar PDF resource,UPDATE SET pdf_url = ... WHERE celex IS NOT NULL,partial,241 rows have celex | UPDATED 2026-05-08: 268 of 570 filled via Cellar PDF resource URL from celex; 302 lack celex
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,rsb_opinions,summary,10,44,22.7,first paragraph of full_text,"UPDATE rsb_opinions SET summary = SUBSTRING(full_text,1,500) WHERE full_text IS NOT NULL",partial,34/44 rows have full_text | UPDATED 2026-05-08: 34 of 44 filled from full_text first 500 chars; 10 lack full_text
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,texts_adopted,celex_number,8,133,6.0,Adopted texts have CELEX 5{YYYY}AP{NNNN} from ta_reference,mechanical mapping P{N}_TA({YYYY}){NNNN} -> 5{YYYY}AP{NNNN},partial,UPDATED 2026-05-08: 125 of 133 derived from ta_reference; 8 are A-numbers (committee reports — no CELEX assigned by Pubs Office)
7_partial_fill_remaining,Some rows filled this session; remaining rows lack the input data,transparency_meetings,host_dg,6,17197,0.0,host name often contains DG identifier,regex extract from host_name,partial,UPDATED 2026-05-08: 17191 of 17197 filled via commissioner→DG mapping from host_cabinet; 6 are EA staff with unverified DG
8_unclassified,,catalan_translations,annex_label,8815,8815,100.0,Annex label in source XML but not always present,parse FMX4 SECTITLE,open,
